Date,Open,High,Low,Close,Adj Close,Volume,Day 
2022-02-25,28.280001,28.42,27.67,28.24,28.24,276700,1
2022-02-28,29.059999,29.459999,28.84,29.08,29.08,211800,2
2022-03-01,30.48,31.5,30.309999,31.190001,31.190001,511500,3
2022-03-02,32.349998,33.240002,31.16,33.040001,33.040001,613000,4
2022-03-03,32.639999,33.200001,32.169998,32.439999,32.439999,434900,5
2022-03-04,33.529999,34.810001,33.02,34.400002,34.400002,638000,6
2022-03-07,35,36.369999,34.700001,35.970001,35.970001,1144700,7
2022-03-08,37.439999,38.720001,35.619999,37.259998,37.259998,1754300,8
2022-03-09,35.02,35.360001,30.26,32.75,32.75,1200600,9
2022-03-10,33.43,33.689999,31.5,31.85,31.85,687600,10
2022-03-11,32.34,33.25,32.169998,33.099998,33.099998,371400,11
2022-03-14,31.84,31.889999,30.959999,31.58,31.58,501600,12
2022-03-15,30.08,33.25,29.68,29.74,29.74,1153300,13
2022-03-16,30.639999,30.799999,29.33,29.58,29.58,349500,14
2022-03-17,31.51,32.470001,31.459999,31.98,31.98,234000,15
2022-03-18,32.560001,32.59,32,32.330002,32.330002,117200,16
2022-03-21,33.540001,34.700001,33.540001,34.57,34.57,243900,17
2022-03-22,34.509998,34.720001,33.75,34.25,34.25,148100,18
2022-03-23,35.450001,35.990002,35.400002,35.73,35.73,379500,19
2022-03-24,35.950001,35.950001,34.52,34.849998,34.849998,173100,20
2022-03-25,34.490002,35.700001,34.310001,35.259998,35.259998,94400,21
2022-03-28,33.490002,34.02,32.439999,32.610001,32.610001,201200,22
2022-03-29,31.5,33.43,31.34,33.139999,33.139999,215900,23
2022-03-30,33.970001,34.369999,33.77,33.919998,33.919998,99400,24
2022-03-31,32.830002,33.290001,31.940001,32.240002,32.240002,126400,25
2022-04-01,31.74,32.310001,31.700001,32.139999,32.139999,48600,26
2022-04-04,33.02,33.400002,32.73,33.259998,33.259998,143300,27
2022-04-05,33.599998,33.720001,32.220001,32.549999,32.549999,100000,28
2022-04-06,32.959999,33.369999,31.48,31.65,31.65,128400,29
2022-04-07,31.68,32.110001,30.790001,31.780001,31.780001,97100,30
2022-04-08,31.309999,32.200001,31.299999,32.040001,32.040001,30800,31
2022-04-11,30.93,31.459999,30.77,31.1,31.1,84200,32
2022-04-12,32.349998,32.900002,32.259998,32.82,32.82,61100,33
2022-04-13,33.25,33.82,32.900002,33.689999,33.689999,42700,34
2022-04-14,33.240002,34.549999,33.240002,34.150002,34.150002,73500,35
2022-04-18,34.68,35.09,34.389999,34.470001,34.470001,52400,36
2022-04-19,33.450001,33.68,32.880001,33.029999,33.029999,86800,37
2022-04-20,33.41,33.57,32.669998,33.23,33.23,42900,38
2022-04-21,33.740002,34.18,33.279999,33.610001,33.610001,44400,39
2022-04-22,33.189999,33.34,32.799999,32.799999,32.799999,20000,40
2022-04-25,31.25,32.360001,31,32.09,32.09,77800,41
2022-04-26,32.52,33.029999,32.09,32.799999,32.799999,163900,42
2022-04-27,32.299999,32.869999,32.139999,32.759998,32.759998,32600,43
2022-04-28,32.709999,33.529999,32.689999,33.349998,33.349998,122900,44
2022-04-29,33.790001,34.07,32.880001,33.049999,33.049999,57100,45
2022-05-02,32.349998,33.889999,32.139999,33.509998,33.509998,36500,46
2022-05-03,32.970001,33.439999,32.689999,32.84,32.84,36600,47
2022-05-04,34.009998,34.669998,33.77,34.419998,34.419998,88900,48
2022-05-05,35.330002,35.490002,34,34.529999,34.529999,169300,49
2022-05-06,35.009998,35.41,34.529999,35.330002,35.330002,125400,50
2022-05-09,34.330002,34.799999,32.759998,32.869999,32.869999,154500,51
2022-05-10,33.060001,33.459999,31.85,31.91,31.91,102000,52
2022-05-11,33.299999,33.91,33.299999,33.439999,33.439999,42200,53
2022-05-12,33.66,34.099998,33.450001,33.919998,33.919998,63100,54
2022-05-13,34.540001,34.950001,34.32,34.919998,34.919998,84100,55
2022-05-16,34.900002,35.830002,34.720001,35.650002,35.650002,54600,56
2022-05-17,35.790001,35.93,34.650002,34.73,34.73,38900,57
2022-05-18,35.25,35.470001,33.860001,33.939999,33.939999,51800,58
2022-05-19,33.68,34.900002,33.68,34.5,34.5,22800,59
2022-05-20,34.880001,35.130001,34.619999,35.02,35.02,51900,60
2022-05-23,35.009998,35.380001,34.740002,35.150002,35.150002,51500,61
2022-05-24,35.169998,35.599998,34.970001,35.150002,35.150002,72800,62
2022-05-25,35.290001,35.5,34.990002,35.369999,35.369999,39100,63
2022-05-26,35.849998,36.650002,35.669998,36.32,36.32,182400,64
2022-05-27,36.709999,36.849998,36.209999,36.66,36.66,48300,65
2022-05-31,38,38.080002,36.610001,36.75,36.75,65300,66
2022-06-01,37.32,37.779999,36.759998,36.759998,36.759998,23600,67
2022-06-02,36.919998,37.75,36.68,37.549999,37.549999,115200,68
2022-06-03,37.52,38.68,37.509998,38.669998,38.669998,76300,69
2022-06-06,38.360001,38.57,37.970001,38,38,88600,70
2022-06-07,38.18,38.799999,37.98,38.619999,38.619999,89500,71
2022-06-08,38.75,39.740002,38.630001,39.610001,39.610001,88900,72
2022-06-09,39.599998,39.610001,39.02,39.259998,39.259998,55000,73
2022-06-10,38.779999,39.130001,38.049999,38.700001,38.700001,56000,74
2022-06-13,39.139999,39.18,37.529999,38.830002,38.830002,147000,75
2022-06-14,39.029999,39.689999,37.650002,38.099998,38.099998,102900,76
2022-06-15,37.84,38.290001,37.34,37.349998,37.349998,99900,77
2022-06-16,37.209999,38.279999,36.700001,37.66,37.66,52800,78
2022-06-17,37.880001,37.880001,35.360001,35.990002,35.990002,260500,79
2022-06-21,36.34,36.799999,36.040001,36.68,36.68,238500,80
2022-06-22,34.110001,35.549999,33.84,34.77,34.77,96600,81
2022-06-23,35.119999,35.200001,33.759998,33.98,33.98,45200,82
2022-06-24,34.32,35.18,34.040001,34.619999,34.619999,76200,83
2022-06-27,35.200001,35.5,34.34,35.32,35.32,32700,84
2022-06-28,36.25,36.439999,35.639999,36.27,36.27,19300,85
2022-06-29,37.040001,37.040001,35.470001,35.470001,35.470001,18700,86
2022-06-30,35.700001,35.700001,34.099998,34.299999,34.299999,45200,87
2022-07-01,35.200001,35.200001,34.560001,34.91,34.91,28800,88
2022-07-05,34.080002,34.110001,31.17,31.75,31.75,101900,89
2022-07-06,31.26,31.559999,30.26,31.15,31.15,167100,90
2022-07-07,32.549999,32.939999,30.950001,31.51,31.51,176100,91
2022-07-08,33.369999,33.529999,32.810001,33.349998,33.349998,103700,92
2022-07-11,32.970001,33.490002,32.529999,33.259998,33.259998,17300,93
2022-07-12,31.84,32.389999,30.889999,30.92,30.92,50700,94
2022-07-13,31.1,31.639999,30.82,31.17,31.17,91500,95
2022-07-14,30.290001,31.280001,29.780001,31.049999,31.049999,105100,96
2022-07-15,31.49,31.790001,31.200001,31.35,31.35,28700,97
2022-07-18,32.790001,33,32.560001,32.68,32.68,40200,98
2022-07-19,32.5,33.259998,32.439999,33.200001,33.200001,18100,99
2022-07-20,32.779999,33.299999,32.599998,32.959999,32.959999,21700,100
2022-07-21,32,32.68,31.959999,32.099998,32.099998,19400,101
2022-07-22,32.099998,32.689999,31.82,31.940001,31.940001,12800,102
2022-07-25,32.369999,32.689999,32.16,32.490002,32.490002,18300,103
2022-07-26,33.029999,33.25,32.150002,32.25,32.25,28300,104
2022-07-27,32.93,33.48,32.549999,33.459999,33.459999,16100,105
2022-07-28,33.59,33.669998,32.860001,33.23,33.23,11700,106
2022-07-29,33.93,34.52,33.400002,33.400002,33.400002,17300,107
2022-08-01,32.310001,32.619999,31.99,32.349998,32.349998,21400,108
2022-08-02,32.709999,33.360001,32.459999,32.860001,32.860001,18600,109
2022-08-03,32.880001,33.009998,31.709999,31.709999,31.709999,19000,110
2022-08-04,31.58,31.780001,30.690001,30.74,30.74,51300,111
2022-08-05,30.41,31.459999,30.34,30.76,30.76,18100,112
2022-08-08,30.77,31.700001,30.77,31.6,31.6,35900,113
2022-08-09,31.879999,32.299999,31.5,31.58,31.58,15100,114
2022-08-10,31.549999,32.27,30.940001,31.969999,31.969999,29300,115
2022-08-11,32.700001,33.110001,32.369999,33.029999,33.029999,27700,116
2022-08-12,32.34,32.549999,32.25,32.259998,32.259998,12100,117
2022-08-15,30.809999,31.639999,30.799999,31.32,31.32,50300,118
2022-08-16,31.290001,31.75,30.51,30.73,30.73,43200,119
2022-08-17,30.91,31.5,30.59,31.17,31.17,28400,120
2022-08-18,31.77,32.310001,31.6,32.169998,32.169998,110800,121
2022-08-19,31.950001,32.529999,31.879999,32.34,32.34,25200,122
2022-08-22,31.1,32.650002,30.969999,32.209999,32.209999,34900,123
2022-08-23,32.650002,33.5,32.650002,33.41,33.41,47700,124
2022-08-24,33.939999,33.939999,33.099998,33.75,33.75,20500,125
2022-08-25,33.849998,33.939999,32.830002,33.02,33.02,71400,126
2022-08-26,33,33.029999,32.580002,32.759998,32.759998,12500,127
2022-08-29,33.220001,34.330002,33.220001,34.330002,34.330002,42700,128
2022-08-30,33.259998,33.490002,32.380001,32.860001,32.860001,31800,129
2022-08-31,32.119999,32.459999,31.5,31.5,31.5,28300,130
2022-09-01,31.049999,31.290001,30.559999,30.57,30.57,38100,131
2022-09-02,31.549999,31.700001,30.83,31,31,32200,132
2022-09-06,31.450001,31.450001,30.799999,30.889999,30.889999,109400,133
2022-09-07,30.68,30.68,29.07,29.07,29.07,71200,134
2022-09-08,29.57,29.879999,29.389999,29.540001,29.540001,28800,135
2022-09-09,30.299999,30.93,30.23,30.629999,30.629999,36400,136
2022-09-12,31.34,31.610001,31.209999,31.219999,31.219999,26900,137
2022-09-13,30.85,31.620001,30.49,31.030001,31.030001,38500,138
2022-09-14,31.309999,31.879999,31.200001,31.35,31.35,18600,139
2022-09-15,31,31,30.07,30.09,30.09,284500,140
2022-09-16,30.540001,30.639999,30.07,30.23,30.23,28300,141
2022-09-19,30.23,30.5,29.120001,30.200001,30.200001,32200,142
2022-09-20,29.74,30.200001,29.67,29.870001,29.870001,12900,143
2022-09-21,30.5,30.5,29.5,29.709999,29.709999,16200,144
2022-09-22,30.4,30.73,29.780001,29.860001,29.860001,11200,145
2022-09-23,29.120001,29.129999,28,28.27,28.27,54900,146
2022-09-26,28.209999,28.67,27.26,27.379999,27.379999,26100,147
2022-09-27,27.76,28.25,27.620001,27.959999,27.959999,25600,148
2022-09-28,28.23,29.23,28.17,29.049999,29.049999,20200,149
2022-09-29,29.75,29.75,28.82,28.940001,28.940001,16400,150
2022-09-30,28.75,28.790001,28.23,28.299999,28.299999,7000,151
2022-10-03,29.870001,29.950001,29.200001,29.58,29.58,35700,152
2022-10-04,30.459999,30.700001,30.18,30.52,30.52,32900,153
2022-10-05,30.940001,31.4,30.5,31.120001,31.120001,116600,154
2022-10-06,31.16,31.690001,31.08,31.68,31.68,90700,155
2022-10-07,31.75,32.98,31.75,32.560001,32.560001,100700,156
2022-10-10,32.639999,33.150002,32,32.02,32.02,72500,157
2022-10-11,31.540001,31.709999,31.07,31.290001,31.290001,90100,158
2022-10-12,30.620001,31,30.48,30.75,30.75,24400,159
2022-10-13,30.690001,31.629999,30.629999,31.57,31.57,33600,160
2022-10-14,30.99,31.049999,30.290001,30.43,30.43,116500,161
2022-10-17,30.92,31.030001,30.360001,30.450001,30.450001,14800,162
2022-10-18,30.15,30.309999,29.530001,29.870001,29.870001,43400,163
2022-10-19,29.950001,30.700001,29.879999,30.58,30.58,42100,164
2022-10-20,30.98,31.15,30.379999,30.57,30.57,101500,165
2022-10-21,30.459999,30.93,30.209999,30.709999,30.709999,17100,166
2022-10-24,30.700001,30.9,30.459999,30.58,30.58,17300,167
2022-10-25,30.540001,31.18,30.540001,30.84,30.84,80600,168
2022-10-26,31.24,31.870001,31.1,31.74,31.74,24100,169
2022-10-27,32.200001,32.200001,31.780001,31.969999,31.969999,65000,170
2022-10-28,31.73,31.83,31.33,31.6,31.6,22400,171
2022-10-31,31.120001,31.610001,30.780001,31.08,31.08,29100,172
2022-11-01,32.27,32.27,31.780001,31.860001,31.860001,18700,173
2022-11-02,32,32.580002,31.709999,32.25,32.25,34400,174
2022-11-03,31.84,32.150002,31.84,31.889999,31.889999,13700,175
2022-11-04,33.27,33.57,33.049999,33.470001,33.470001,80200,176
2022-11-07,33.470001,33.860001,33.25,33.369999,33.369999,26200,177
2022-11-08,33.279999,33.279999,32.310001,32.41,32.41,20900,178
2022-11-09,31.91,31.99,31.16,31.34,31.34,30200,179
2022-11-10,31.290001,31.82,31.02,31.540001,31.540001,22000,180
2022-11-11,32.43,32.689999,32.150002,32.59,32.59,24400,181
2022-11-14,32.23,32.490002,31.26,31.280001,31.280001,36900,182
2022-11-15,31.27,32.580002,31.24,31.93,31.93,34800,183
2022-11-16,31.700001,31.700001,31.120001,31.309999,31.309999,23500,184
2022-11-17,31.049999,31.07,30.33,30.530001,30.530001,96100,185
2022-11-18,29.65,30.120001,29.389999,29.99,29.99,95800,186
2022-11-21,28.950001,30.120001,28.4,29.959999,29.959999,76500,187
2022-11-22,30.360001,30.82,30.280001,30.51,30.51,23100,188
2022-11-23,29.65,30.15,29.120001,29.33,29.33,30400,189
2022-11-25,29.57,29.85,29.059999,29.08,29.08,8400,190
2022-11-28,28.299999,29.33,28.200001,29.18,29.18,45600,191
2022-11-29,29.77,30.01,29.24,29.780001,29.780001,30600,192
2022-11-30,30.48,30.639999,30.290001,30.440001,30.440001,26500,193
2022-12-01,31.139999,31.35,30.6,30.639999,30.639999,31400,194
2022-12-02,30.629999,30.870001,30.15,30.33,30.33,17300,195
2022-12-05,31.01,31.17,29.15,29.379999,29.379999,37100,196
2022-12-06,28.950001,29.190001,27.92,28.200001,28.200001,81800,197
2022-12-07,28.4,28.5,27.360001,27.57,27.57,39400,198
2022-12-08,27.91,28.059999,27.049999,27.07,27.07,37100,199
2022-12-09,27.200001,27.450001,26.719999,27.23,27.23,28500,200
2022-12-12,27.33,28.01,27.33,27.860001,27.860001,81400,201
2022-12-13,28.280001,28.799999,28.17,28.639999,28.639999,60000,202
2022-12-14,29.01,29.379999,28.76,29.280001,29.280001,50400,203
2022-12-15,29.02,29.07,28.5,28.67,28.67,20800,204
2022-12-16,27.959999,28.5,27.74,28.16,28.16,48100,205
2022-12-19,28.540001,28.82,28.129999,28.76,28.76,28900,206
2022-12-20,28.68,28.92,28.219999,28.809999,28.809999,14800,207
2022-12-21,29.32,29.629999,29.219999,29.549999,29.549999,61600,208
2022-12-22,29.780001,29.799999,29.030001,29.459999,29.459999,28100,209
2022-12-23,30.07,30.190001,29.92,30.09,30.09,38700,210
2022-12-27,30.360001,30.610001,30.110001,30.209999,30.209999,37300,211
2022-12-28,29.610001,30,29.35,29.77,29.77,20300,212
2022-12-29,29.85,29.85,29.360001,29.809999,29.809999,24000,213
2022-12-30,29.459999,30.5,29.459999,30.5,30.5,28700,214
2023-01-03,29.870001,30.15,29.200001,29.370001,29.370001,25400,215
2023-01-04,28.450001,28.450001,27.67,27.879999,27.879999,67200,216
2023-01-05,27.790001,28.450001,27.67,27.969999,27.969999,32800,217
2023-01-06,28.52,28.549999,27.959999,28.1,28.1,23200,218
2023-01-09,28.809999,29.1,28.440001,28.549999,28.549999,33000,219
2023-01-10,28.719999,28.85,28.379999,28.549999,28.549999,13000,220
2023-01-11,29.18,29.549999,28.950001,29.5,29.5,62800,221
2023-01-12,29.91,30.08,29.709999,29.709999,29.709999,33100,222
2023-01-13,29.969999,30.469999,29.969999,30.440001,30.440001,19900,223
2023-01-17,30.76,30.83,30.209999,30.719999,30.719999,46400,224
2023-01-18,31,31.25,30.09,30.219999,30.219999,32000,225
2023-01-19,30.389999,30.9,30.24,30.68,30.68,52200,226
2023-01-20,30.879999,31.110001,30.4,30.950001,30.950001,41500,227
2023-01-23,31.15,31.35,30.950001,31.01,31.01,38500,228
2023-01-24,31.049999,31.07,30.370001,30.540001,30.540001,21700,229
2023-01-25,30.5,30.76,30.299999,30.59,30.59,16900,230
2023-01-26,31.139999,31.139999,30.709999,30.809999,30.809999,9500,231
2023-01-27,31.17,31.17,30.059999,30.209999,30.209999,30500,232
2023-01-30,29.879999,30.309999,29.52,29.530001,29.530001,33200,233
2023-01-31,29.43,30.17,29.43,30.129999,30.129999,19700,234
2023-02-01,29.98,30.1,29,29.309999,29.309999,54900,235
2023-02-02,29.059999,29.290001,28.700001,28.85,28.85,80300,236
2023-02-03,28.940001,29.65,27.950001,27.950001,27.950001,82600,237
2023-02-06,28.290001,28.469999,27.629999,28.469999,28.469999,47300,238
2023-02-07,28.52,29.5,28.52,29.5,29.5,46800,239
2023-02-08,29.75,29.860001,29.370001,29.790001,29.790001,17800,240
2023-02-09,29.67,29.700001,29.25,29.549999,29.549999,18000,241
2023-02-10,30,30.4,29.98,30.299999,30.299999,28600,242
2023-02-13,30.1,30.58,29.98,30,30,64300,243
2023-02-14,29.65,30.27,29.549999,30.200001,30.200001,24100,244
2023-02-15,29.889999,30.18,29.549999,30.049999,30.049999,15100,245
2023-02-16,29.809999,30.049999,29.76,29.790001,29.790001,22500,246
2023-02-17,28.860001,29.18,28.719999,29.15,29.15,60400,247
2023-02-21,29.379999,29.42,28.92,28.940001,28.940001,18400,248
2023-02-22,28.870001,28.9,28.18,28.200001,28.200001,13500,249
2023-02-23,28.73,28.950001,28.6,28.870001,28.870001,16500,250
2023-02-24,28.52,29.18,28.299999,29.18,29.18,19100,251